sf,ml,bust_rate,total_pnl
1.3,3,0.16984902309058614,-2438.025141
1.3,4,0.09565008411439557,-2469.294599
1.3,5,0.05693132499361756,-2967.5593369999997
1.3,6,0.02574002574002574,-2524.6512569999995
1.3,7,0.015910898965791568,-2874.552681
1.3,8,0.008764940239043825,-2867.980617
1.5,3,0.16984902309058614,-2719.470133
1.5,4,0.09565008411439557,-2931.76074
1.5,5,0.05693132499361756,-3587.295551
1.5,6,0.02574002574002574,-3135.809218
1.5,7,0.015910898965791568,-3636.5198680000003
1.5,8,0.008764940239043825,-3771.405598
1.7,3,0.16984902309058614,-3010.684389
1.7,4,0.09565008411439557,-3446.8632860000002
1.7,5,0.05693132499361756,-4300.941905
1.7,6,0.02574002574002574,-3845.9428049999997
1.7,7,0.015910898965791568,-4610.495971
1.7,8,0.008764940239043825,-4945.320032
2.0,3,0.16984902309058614,-3461.20472
2.0,4,0.09565008411439557,-4298.537375
2.0,5,0.05693132499361756,-5496.37292
2.0,6,0.02574002574002574,-5056.580739999999
2.0,7,0.015910898965791568,-6405.59161
2.0,8,0.015910898965791568,-6405.59161
2.5,3,0.16984902309058614,-4231.495511
2.5,4,0.09565008411439557,-5814.305592
2.5,5,0.05693132499361756,-7481.624543000001
2.5,6,0.02574002574002574,-7157.570766999999
2.5,7,0.02574002574002574,-7157.570766999999
2.5,8,0.02574002574002574,-7157.570766999999
3.0,3,0.16984902309058614,-5000.104022
3.0,4,0.09565008411439557,-7227.556995000001
3.0,5,0.05693132499361756,-8877.110591999999
3.0,6,0.05693132499361756,-8877.110591999999
3.0,7,0.05693132499361756,-8877.110591999999
3.0,8,0.05693132499361756,-8877.110591999999
