hedge_pips,bust_rate,avg_win,n_sessions
5,0.12482306009522584,-0.1130039627995883,7771
10,0.050665421433574595,0.03555404262993934,12849
15,0.03441973804447152,0.3018331534700316,6566
20,0.02574002574002574,0.8488234800528401,3885
30,0.02074235807860262,1.7935992859531773,1832
40,0.017126546146527116,2.999763100677638,1051
