level,n_sessions,p_win_from_here,ev
0,3771,0.9840891010342084,-1.6986453487138684
1,2099,0.9714149595045259,-3.533206689702366
2,1182,0.949238578680203,-6.743201689999691
3,631,0.9049128367670365,-13.15928062789727
4,371,0.8382749326145552,-22.805008704732277
5,191,0.6858638743455497,-44.86626112049785
6,96,0.375,-89.86330055300122
