k,bic
2,-49365.96864587668
3,-57181.06642576414
4,-61979.90114210679
5,-64261.913247904246
6,-65296.329640782016
7,-67354.40744482775
8,-68975.5540527703
9,-70692.5923529543
10,-71103.67396057202
11,-70495.03549104648
12,-70410.95249145337
13,-70598.2903222189
14,-71732.73898577932
15,-71543.29701100622
